,관할구역,보호센터명,전화번호,보호센터주소
240,경기도 군포시,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동)
241,경기도 의왕시,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동)
242,서울특별시 용산구,한남동물병원,02-793-9230,서울특별시 용산구 한남동 642-4
243,서울특별시 성동구,한빛동물병원,02-2233-1848,서울특별시 성동구 금호산길 63-1 (금호동2가)
244,경상남도 함양군,함양군위탁보호소,055-960-8143,"경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터)"
245,대구광역시 수성구,허동물병원,053-752-7535,대구광역시 수성구 수성동2가 명덕로 421 (수성동2가) 허동물병원
246,서울특별시 마포구,홍익동물병원,02-325-2026,서울특별시 마포구 독막로 45 (합정동)
247,강원도 홍천군,홍천군유기동물보호소,033-434-9435,"강원도 홍천군 화촌면 둔덕이길 68 (화촌면, 홍천군유기동물보호센터)"
248,전라남도 화순군,화순군유기동물보호소,010-4345-5580,전라남도 화순군 한천면 덕음로 115 (한천면)
249,강원도 화천군,화천군농업기술센터,033-440-2941,강원도 화천군 상서면 영서로 6387-9 화천군농업기술센터
250,서울특별시 용산구,효창동물병원,02-711-4527,서울특별시 용산구 효창동 70-11
